Occupation Level,Skill Level,Occupation Code,Occupation,"Employment level
May 2018 ('000)","Projected employment level
May 2023 ('000)","Projected employment growth 
five years to May 2023 - ('000)","Projected employment growth 
five years to May 2023 - (%)",,,,,,,,,
4,1,1341,Child Care Centre Managers,13.3,16.0,2.8,20.9,,,,,,,,,
4,1,1342,Health and Welfare Services Managers,19.6,23.9,4.3,21.8,,,,,,,,,
4,1,1343,School Principals,20.6,22.1,1.5,7.4,,,,,,,,,
4,1,1344,Other Education Managers,11.4,13.3,1.9,16.4,,,,,,,,,
4,1,1340,"Education, Health and Welfare Services Managers nfd",0.1,0.1,0.0,0.0,,,,,,,,,
3, ,135,ICT Managers,58.8,67.0,8.2,13.9,,,,,,,,,
4,1,1351,ICT Managers,58.8,67.0,8.2,13.9,,,,,,,,,
3, ,139,Miscellaneous Specialist Managers,53.1,58.2,5.1,9.6,,,,,,,,,
4,1,1391,Commissioned Officers (Management),1.6,1.7,0.1,6.7,,,,,,,,,
4,1,1392,Senior Non-commissioned Defence Force Members,0.1,0.1,0.0,0.0,,,,,,,,,
4,1,1399,Other Specialist Managers,50.6,55.6,5.0,9.9,,,,,,,,,
4,1,1390,Miscellaneous Specialist Managers nfd,0.4,0.4,0.0,0.0,,,,,,,,,
3, ,130,Specialist Managers nfd,7.1,7.1,0.0,0.0,,,,,,,,,
4,1,1300,Specialist Managers nfd,7.1,7.1,0.0,0.0,,,,,,,,,
2, ,14,"Hospitality, Retail and Service Managers",520.6,548.5,27.9,5.3,,,,,,,,,
3, ,141,Accommodation and Hospitality Managers,109.0,119.3,10.2,9.4,,,,,,,,,
4,2,1411,Cafe and Restaurant Managers,69.4,79.0,9.7,13.9,,,,,,,,,
4,2,1412,Caravan Park and Camping Ground Managers,3.2,3.2,0.0,-0.2,,,,,,,,,
4,2,1413,Hotel and Motel Managers,21.0,21.4,0.4,1.7,,,,,,,,,
4,2,1414,Licensed Club Managers,5.0,5.0,0.0,0.0,,,,,,,,,
4,2,1419,Other Accommodation and Hospitality Managers,8.4,8.6,0.2,2.5,,,,,,,,,
4,2,1410,Accommodation and Hospitality Managers nfd,0.1,0.1,0.0,5.2,,,,,,,,,
3, ,142,Retail Managers,233.3,237.6,4.3,1.8,,,,,,,,,
4,2,1421,Retail Managers,233.3,237.6,4.3,1.8,,,,,,,,,
3, ,149,"Miscellaneous Hospitality, Retail and Service Managers",176.3,189.7,13.3,7.6,,,,,,,,,
4,2,1491,"Amusement, Fitness and Sports Centre Managers",15.7,18.2,2.5,16.2,,,,,,,,,
4,2,1492,Call or Contact Centre and Customer Service Managers,33.8,33.4,-0.5,-1.4,,,,,,,,,
